epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.11509,1.04874,2.98571,1.52263,0.00159,0.5,0.0222,0.01436,2.82462,4.80464,2.89619,0,0,0
2,4.17709,1.5862,3.06374,1.69785,0.00161,0.5,0.02095,0.01344,2.60952,4.60459,2.59078,1.6505e-05,1.6505e-05,1.6505e-05
3,6.17542,0.91121,2.89483,1.36287,0.00333,1,0.03108,0.01781,2.17483,4.47319,2.11841,3.26799e-05,3.26799e-05,3.26799e-05
4,8.00131,0.92311,2.84561,1.34511,0.00333,1,0.04363,0.03094,1.65156,3.99117,1.78369,4.85247e-05,4.85247e-05,4.85247e-05
5,9.93105,0.71291,2.84695,1.29808,0.00334,1,0.09368,0.05619,1.11828,3.74964,1.48598,6.40395e-05,6.40395e-05,6.40395e-05
6,11.8573,0.42634,2.76298,1.19752,0.00335,1,0.22226,0.12361,0.82463,3.60146,1.20444,7.92242e-05,7.92242e-05,7.92242e-05
7,13.7901,0.61153,2.82264,1.27414,0.00338,1,0.49144,0.21271,0.6439,3.53106,1.00067,9.40788e-05,9.40788e-05,9.40788e-05
8,15.6631,0.46468,2.71034,1.25162,0.00339,1,0.59625,0.40723,0.48781,3.51166,0.81625,0.000108603,0.000108603,0.000108603
9,17.5509,0.52114,2.74578,1.28027,0.00338,1,0.57958,0.45536,0.38448,3.48703,0.68058,0.000122798,0.000122798,0.000122798
10,19.6063,0.30666,2.62678,1.04157,0.0034,1,0.59625,0.50182,0.32251,3.4691,0.60124,0.000136662,0.000136662,0.000136662
11,21.6114,0.23523,2.5277,1.05004,0.00336,1,0.66292,0.55515,0.29266,3.46498,0.55302,0.000150197,0.000150197,0.000150197
12,23.5395,0.33612,2.51571,1.14423,0.00339,1,0.74625,0.64667,0.26155,3.42936,0.48512,0.000163401,0.000163401,0.000163401
13,25.4002,0.29508,2.42904,1.0455,0.00336,1,0.74625,0.67142,0.24964,3.41393,0.45245,0.000176275,0.000176275,0.000176275
14,27.3581,0.30304,2.18857,1.09003,0.00335,1,0.87,0.7828,0.2492,3.38489,0.4435,0.000188819,0.000188819,0.000188819
15,29.2211,0.20247,2.23372,0.98512,0.00334,1,0.82833,0.77027,0.2571,3.34652,0.44359,0.000201034,0.000201034,0.000201034
