epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4435,0.98361,2.94857,1.48918,0.00342,1,0.11121,0.04999,0.83268,3.65977,1.18891,6.668e-05,6.668e-05,6.668e-05
2,30.6431,0.45556,2.73422,1.19945,0.00359,1,0.65027,0.5078,0.30982,3.43806,0.54027,0.000148545,0.000148545,0.000148545
3,44.6927,0.28237,2.31457,1.05889,0.00349,1,0.57071,0.45959,0.4184,3.38416,0.66427,0.000228759,0.000228759,0.000228759
4,58.8399,0.26624,1.82811,1.05139,0.00336,1,0.33039,0.14178,1.6361,4.05753,1.5383,0.000307323,0.000307323,0.000307323
5,72.8725,0.25404,1.55532,1.02221,0.00321,0.96429,0.50235,0.34048,0.7241,3.4423,0.97445,0.000384237,0.000384237,0.000384237
6,86.9176,0.2739,1.27809,1.0663,0.44813,1,0.84419,0.69389,0.39139,2.96842,0.59528,0.0004595,0.0004595,0.0004595
7,101.08,0.21978,1.09991,0.97665,0.00333,1,0.74382,0.59772,0.6303,3.24551,0.93057,0.000533113,0.000533113,0.000533113
8,115.124,0.2185,1.0007,0.95552,0.62426,0.21429,0.45896,0.31975,1.1507,3.74559,1.21679,0.000605076,0.000605076,0.000605076
9,129.292,0.20433,0.95237,0.95465,0.53431,0.03571,0.04238,0.0108,3.16854,4.7696,2.76415,0.000675388,0.000675388,0.000675388
10,143.293,0.22942,0.90495,0.9525,0.51301,0.05549,0.00762,0.0012,4.34559,6.24397,3.45024,0.00074405,0.00074405,0.00074405
11,157.302,0.24346,0.90267,0.99259,0.50252,0.03571,0.0058,0.00102,4.3872,7.40784,3.78922,0.000811062,0.000811062,0.000811062
12,171.248,0.27363,0.96591,0.99833,0.53338,0.32143,0.13831,0.10418,1.31337,3.84347,1.16352,0.000876424,0.000876424,0.000876424
13,185.219,0.23561,0.88869,0.99048,0.55829,0.28571,0.29973,0.23967,1.08184,3.4159,1.07086,0.000940135,0.000940135,0.000940135
14,199.069,0.25301,0.89855,1.02883,0.60163,0.35714,0.37611,0.21539,1.54433,3.9941,1.34326,0.0010022,0.0010022,0.0010022
15,212.946,0.24063,0.78969,0.98802,0.6273,0.42857,0.5326,0.3901,1.07077,3.73578,1.24061,0.00106261,0.00106261,0.00106261
16,226.63,0.23824,0.80748,0.99972,0.66168,0.32143,0.44674,0.37462,0.78155,3.2586,1.00939,0.00112137,0.00112137,0.00112137
17,240.355,0.2555,0.84358,0.99457,0.64193,0.35714,0.27138,0.227,0.75298,3.61536,0.98131,0.00117848,0.00117848,0.00117848
