epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.779,0.98397,2.96885,1.48845,0.00344,1,0.2222,0.13787,0.53049,3.53661,0.92011,8.335e-05,8.335e-05,8.335e-05
2,209.575,0.4172,2.64892,1.17159,0.00347,1,0.64444,0.51258,0.34511,3.40962,0.56185,0.000181555,0.000181555,0.000181555
3,301.718,0.33698,2.15132,1.07066,0.00333,1,0.48846,0.28416,1.11174,3.79314,1.25641,0.000277779,0.000277779,0.000277779
4,397.998,0.28521,1.65111,1.038,0.00336,1,0.43031,0.24216,1.07984,3.6562,1.37766,0.000372023,0.000372023,0.000372023
5,445.504,0.3373,1.43708,1.06186,0.89422,0.20723,0.84655,0.63854,0.72128,3.21665,1.09397,0.000464286,0.000464286,0.000464286
6,25787.3,0.25394,1.12762,1.03063,0.70208,0.53372,0.72017,0.59183,0.60765,2.76749,1.00185,0.000554569,0.000554569,0.000554569
7,25807.3,0.26016,1.01144,1.00235,0.81898,0.67083,0.8984,0.7398,0.6635,2.55385,0.80961,0.000642872,0.000642872,0.000642872
8,25824.4,0.34113,1.15392,1.07403,0.49513,0.67944,0.60838,0.42585,1.33818,3.29048,1.5092,0.000729194,0.000729194,0.000729194
9,25840.5,0.32925,1.06052,1.06035,0.51073,0.74954,0.76169,0.5609,0.71655,3.88703,0.89153,0.000813536,0.000813536,0.000813536
10,25854.6,0.25199,0.98802,1.02086,0.57734,0.81511,0.90045,0.66851,0.58941,3.30691,0.76555,0.000895897,0.000895897,0.000895897
11,25868.7,0.24297,0.9445,0.97868,0.61095,0.81009,0.91174,0.63978,0.82959,2.87794,1.09134,0.000976279,0.000976279,0.000976279
12,25883.2,0.2598,0.92116,1.01058,0.64183,0.68624,0.88131,0.69065,0.73193,3.10098,0.99294,0.00105468,0.00105468,0.00105468
13,25897.5,0.2923,0.95438,1.00117,0.49331,0.82759,0.79699,0.62842,0.8071,3.17423,1.00004,0.0011311,0.0011311,0.0011311
