epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5292,1.05218,2.9564,1.51517,0.00343,1,0.21667,0.16191,0.46359,3.51471,0.80942,8.335e-05,8.335e-05,8.335e-05
2,63.6953,0.45076,2.64961,1.19148,0.00344,1,0.67545,0.5539,0.40527,3.42565,0.73972,0.000181555,0.000181555,0.000181555
3,86.8995,0.27338,2.06869,1.0256,0.00325,0.975,0.26779,0.14306,1.36712,4.04626,1.57851,0.000277779,0.000277779,0.000277779
4,102.09,0.23408,1.53348,1.0347,0.00218,0.64079,0.10087,0.03562,3.49247,5.56874,3.10222,0.000372023,0.000372023,0.000372023
5,117.641,0.2445,1.27291,1.012,0.00327,0.975,0.58982,0.36242,1.36863,4.05948,1.31809,0.000464286,0.000464286,0.000464286
6,132.909,0.37472,1.6954,1.07772,0.00325,0.975,0.22465,0.1358,1.68561,4.3326,1.74679,0.000554569,0.000554569,0.000554569
