epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,725.375,0.19753,0.60109,0.95489,0.86885,0.76292,0.90829,0.8284,0.50948,1.26229,0.70603,0.000973861,0.000973861,0.000973861
44,740.796,0.19499,0.6466,0.93307,0.79442,0.77884,0.86923,0.71893,0.60974,1.66841,0.73345,0.000957358,0.000957358,0.000957358
45,756.225,0.18372,0.70216,0.92779,0.79,0.82946,0.88085,0.71582,0.59228,1.53355,0.75189,0.000940855,0.000940855,0.000940855
46,771.986,0.19289,0.57578,0.95426,0.95503,0.98,0.98987,0.95237,0.28926,0.86378,0.36393,0.000924352,0.000924352,0.000924352
47,787.616,0.18892,0.51685,0.96483,0.99711,1,0.995,0.99156,0.2231,0.63767,0.30265,0.000907848,0.000907848,0.000907848
48,804.066,0.16387,0.53587,0.95555,0.99436,1,0.995,0.97794,0.30307,0.87439,0.40338,0.000891345,0.000891345,0.000891345
49,820.363,0.1715,0.51705,0.93642,0.98625,0.99431,0.995,0.97133,0.33088,0.89991,0.44429,0.000874842,0.000874842,0.000874842
50,836.444,0.15737,0.46486,0.90313,0.99588,1,0.995,0.98568,0.34708,0.76307,0.48747,0.000858338,0.000858338,0.000858338
51,853.032,0.22115,0.743,0.98927,0.99781,1,0.995,0.97427,0.33369,0.73153,0.44881,0.000841835,0.000841835,0.000841835
52,869.601,0.14632,0.43117,0.89302,0.99755,1,0.995,0.99268,0.27182,0.65847,0.38932,0.000825332,0.000825332,0.000825332
53,885.872,0.1434,0.43719,0.91516,0.99781,1,0.995,0.995,0.25138,0.63617,0.37845,0.000808828,0.000808828,0.000808828
54,901.355,0.16352,0.61882,0.91352,0.99785,1,0.995,0.995,0.20426,0.65002,0.33911,0.000792325,0.000792325,0.000792325
55,916.867,0.1498,0.41885,0.9408,0.99725,1,0.995,0.995,0.20166,0.63602,0.34202,0.000775822,0.000775822,0.000775822
56,934.108,0.14982,0.52852,0.90645,0.99244,1,0.995,0.99037,0.25871,0.69756,0.38797,0.000759318,0.000759318,0.000759318
57,951.005,0.12918,0.5306,0.90562,0.98462,0.99851,0.995,0.96189,0.30654,0.86049,0.42953,0.000742815,0.000742815,0.000742815
58,967.242,0.1327,0.42744,0.94478,0.97321,0.96601,0.99346,0.93886,0.3031,0.85746,0.40245,0.000726312,0.000726312,0.000726312
59,982.601,0.1428,0.5876,0.91116,0.98071,0.96469,0.99346,0.95733,0.29807,0.7943,0.39993,0.000709809,0.000709809,0.000709809
60,1003.04,0.13545,0.39633,0.88993,0.79956,0.96895,0.98882,0.97002,0.33,0.95076,0.47025,0.000693305,0.000693305,0.000693305
61,1021.01,0.1199,0.44002,0.90291,0.73989,0.95378,0.97726,0.96231,0.33573,1.16252,0.47504,0.000676802,0.000676802,0.000676802
62,1038.78,0.1328,0.51899,0.91669,0.75608,0.93694,0.98732,0.97751,0.33396,1.17793,0.49032,0.000660299,0.000660299,0.000660299
63,1056.37,0.12242,0.37341,0.9323,0.75759,0.95812,0.99423,0.98593,0.30513,1.10903,0.46112,0.000643795,0.000643795,0.000643795
64,1074.1,0.13429,0.4146,0.94342,0.80655,0.95068,0.995,0.98842,0.26355,0.88804,0.38509,0.000627292,0.000627292,0.000627292
