epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9742,0.93736,2.95558,1.41892,0.00325,1,0.02409,0.00899,1.70747,4.46748,1.74594,3.334e-05,3.334e-05,3.334e-05
2,27.2363,0.85281,2.95214,1.40546,0.00318,1,0.22369,0.12398,0.60001,3.58417,0.97075,8.25248e-05,8.25248e-05,8.25248e-05
3,61.4794,0.41791,2.67441,1.16802,0.00317,1,0.53769,0.41673,0.29951,3.44473,0.58656,0.000130719,0.000130719,0.000130719
4,68.8428,0.35443,2.46688,1.16716,0.00318,1,0.60741,0.53518,0.28209,3.37485,0.56787,0.000177924,0.000177924,0.000177924
5,105.631,0.39632,2.20852,1.09265,0.00322,1,0.55031,0.45067,0.38085,3.34213,0.60015,0.000224138,0.000224138,0.000224138
6,147.701,0.2671,1.67623,1.02199,0.00329,1,0.4648,0.38336,0.40106,3.38778,0.60902,0.000269362,0.000269362,0.000269362
7,184.907,0.2707,1.46841,1.04736,0.00337,1,0.40401,0.29658,0.80946,3.60092,1.0058,0.000313596,0.000313596,0.000313596
8,218.846,0.28411,1.37418,1.01927,0.00344,1,0.43415,0.35506,0.74315,3.53005,0.97067,0.00035684,0.00035684,0.00035684
9,250.447,0.24148,1.18946,0.99238,0.00345,1,0.62683,0.60266,0.3899,3.19024,0.70688,0.000399093,0.000399093,0.000399093
10,278.549,0.24385,1.22587,0.97307,0.9057,0.43133,0.62995,0.60032,0.44102,3.01625,0.70175,0.000440356,0.000440356,0.000440356
11,285.609,0.21914,1.04822,0.99056,0.87387,0.5,0.63361,0.60458,0.31759,2.36566,0.52486,0.000480629,0.000480629,0.000480629
12,292.611,0.34994,1.16576,1.08895,0.96685,0.45,0.67008,0.64752,0.28144,2.24917,0.49362,0.000519912,0.000519912,0.000519912
13,299.804,0.26344,1.02797,1.05627,0.81219,0.5,0.995,0.92061,0.37777,2.48406,0.5976,0.000558205,0.000558205,0.000558205
14,306.835,0.26928,1.07459,1.00443,0.84036,0.5,0.995,0.80686,0.61413,2.60204,0.84254,0.000595507,0.000595507,0.000595507
15,313.852,0.21307,0.91079,0.9515,0.82942,0.83496,0.995,0.69822,0.86892,2.5568,1.19622,0.00063182,0.00063182,0.00063182
16,320.928,0.27544,0.91766,0.94017,0.80371,0.83771,0.97682,0.72669,0.72076,2.31023,1.18778,0.000667142,0.000667142,0.000667142
17,328.024,0.23539,0.87891,0.9492,0.63579,0.45,0.58498,0.34586,1.47044,2.99001,2.19414,0.000701474,0.000701474,0.000701474
18,335.041,0.24242,0.92436,1.00865,0.63397,0.49423,0.51044,0.24257,1.82624,3.29489,2.61193,0.000734815,0.000734815,0.000734815
19,342.049,0.27684,1.05468,1.0111,0.61789,0.65205,0.68808,0.37611,1.98156,3.1271,2.37244,0.000767167,0.000767167,0.000767167
20,349.012,0.24979,0.78493,1.0161,0.58554,0.875,0.78663,0.43359,1.78967,3.11836,1.84464,0.000798528,0.000798528,0.000798528
21,355.959,0.31444,0.81386,0.9888,0.61392,0.875,0.75114,0.50758,0.89105,2.92801,1.13421,0.000828899,0.000828899,0.000828899
22,362.826,0.26652,0.8081,0.96278,0.6269,0.80483,0.7234,0.58061,0.60925,2.41448,0.92771,0.00085828,0.00085828,0.00085828
23,369.559,0.2684,0.813,0.9879,0.80816,0.5,0.62316,0.50227,0.69547,2.55127,0.99926,0.000886671,0.000886671,0.000886671
24,376.403,0.24859,0.70019,0.95765,0.75939,0.48568,0.36883,0.227,0.82922,2.98254,1.1071,0.000914071,0.000914071,0.000914071
25,383.174,0.49672,1.13657,1.22682,0.81013,0.5,0.32072,0.22778,0.69242,2.76489,0.91632,0.000940481,0.000940481,0.000940481
26,390.116,0.32645,0.87005,1.01791,0.83132,0.5,0.34533,0.26869,0.53474,2.61824,0.74777,0.000965901,0.000965901,0.000965901
